"Slug","Title","Parent Department","Parent Hub","Content"
"finance-data","Finance & Data","central-functions","finance-data","<p><br><br></p>"
"control","Control","central-functions","finance-data","<p><br><br></p>"
"data-bi","Data & BI","central-functions","finance-data","<p><br><br></p>"
"finance","Finance","central-functions","finance-data","<p><br><br></p>"
"fpa","FP&A","central-functions","finance-data","<p><br><br></p>"
"legal-business-operations","Legal and Business Operations","central-functions","legal-business-operations","<p><br><br></p>"
"legal-risk-compliance","Legal, Risk & Compliance","central-functions","legal-business-operations","<p><br><br></p>"
"operations","Operations","central-functions","legal-business-operations","<p><br><br></p>"
"people","People","central-functions","people","<p><br><br></p>"
"people","People","central-functions","people","<p><br><br></p>"
"talent","Talent","central-functions","people","<p><br><br></p>"
"ceo","CEO","central-functions","ceo","<p><br><br></p>"
"ceo","CEO","central-functions","ceo","<p><br><br></p>"
"executive-leadership-hiring","Executive and Leadership Hiring","central-functions","ceo","<p><br><br></p>"
"customer-consulting","Customer and Consulting","revenue","customer-consulting","<p><br><br></p>"
"customer-delivery","Customer Delivery","revenue","customer-consulting","<p><br><br></p>"
"customer-leadership","Customer Leadership","revenue","customer-consulting","<p><br><br></p>"
"customer-pm","Customer PM","revenue","customer-consulting","<p><br><br></p>"
"customer-success","Customer Success","revenue","customer-consulting","<p><br><br></p>"
"customer-support","Customer Support","revenue","customer-consulting","<p><br><br></p>"
"learning","Learning","revenue","customer-consulting","<p><br><br></p>"
"pricing-innovation","Pricing & Innovation","revenue","customer-consulting","<p><br><br></p>"
"field-engineering","Field Engineering","revenue","field-engineering","<p><br><br></p>"
"field-engineering","Field Engineering","revenue","field-engineering","<p><br><br></p>"
"solutions-engineering","Solutions Engineering","revenue","field-engineering","<p><br><br></p>"
"marketing","Marketing","revenue","marketing","<p><br><br></p>"
"abfm","ABFM","revenue","marketing","<p><br><br></p>"
"abm","ABM","revenue","marketing","<p><br><br></p>"
"content","Content","revenue","marketing","<p><br><br></p>"
"events","Events","revenue","marketing","<p><br><br></p>"
"marketing","Marketing","revenue","marketing","<p><br><br></p>"
"pmm","PMM","revenue","marketing","<p><br><br></p>"
"product-marketing","Product Marketing","revenue","marketing","<p><br><br></p>"
"revops","RevOps","revenue","marketing","<p><br><br></p>"
"sdr","SDR","revenue","marketing","<p><br><br></p>"
"revenue","Revenue","revenue","revenue","<p><br><br></p>"
"enablement","Enablement","revenue","revenue","<p><br><br></p>"
"revenue-leadership","Revenue | Leadership","revenue","revenue","<p><br><br></p>"
"sales","Sales","revenue","sales","<p><br><br></p>"
"ae-international","Account Executives - International","revenue","sales","<p><br><br></p>"
"ae-north-america","Account Executives - North America","revenue","sales","<p><br><br></p>"
"ae-strategic-accounts","Account Executives - Strategic Accounts","revenue","sales","<p><br><br></p>"
"partners","Partners","revenue","sales","<p><br><br></p>"
"sales","Sales","revenue","sales","<p><br><br></p>"
"engineering","Engineering","technology","engineering","<p><br><br></p>"
"ai","AI","technology","engineering","<p><br><br></p>"
"delivery","Delivery","technology","engineering","<p><br><br></p>"
"engineering-management","Engineering Management","technology","engineering","<p><br><br></p>"
"engineering-velocity","Engineering Velocity (EV)","technology","engineering","<p><br><br></p>"
"quality","Quality","technology","engineering","<p><br><br></p>"
"security","Security","technology","engineering","<p><br><br></p>"
"analytics","Analytics","technology","engineering","<p><br><br></p>"
"customer-engineering","Customer Engineering","technology","engineering","<p><br><br></p>"
"kernel","Kernel","technology","engineering","<p><br><br></p>"
"models","Models","technology","engineering","<p><br><br></p>"
"platform","Platform","technology","engineering","<p><br><br></p>"
"policies","Policies","technology","engineering","<p><br><br></p>"
"shared-architecture","Shared Architecture","technology","engineering","<p><br><br></p>"
"staff-engineering","Staff Engineering","technology","engineering","<p><br><br></p>"
"product","Product","technology","product","<p><br><br></p>"
"product-design","Product Design","technology","product","<p><br><br></p>"
"product-management","Product Management","technology","product","<p><br><br></p>"
"product-ops","Product Ops","technology","product","<p><br><br></p>"
"technical-writing","Technical Writing","technology","product","<p><br><br></p>"
"technology-leadership","Technology Leadership","technology","technology-leadership","<p><br><br></p>"
"technology-leadership","Technology Leadership","technology","technology-leadership","<p><br><br></p>"
