Keyword,Campaign,Impr.,Avg. cost,Cost,Clicks,Search impr. share,Conv. rate,Conversions,Avg. CPC,Cost / conv.
"""branding company services""",TO_Search Branding,460,2.47,56.85,23,< 10%,4.35%,1,2.47,56.85
"""branding agency london""",TO_Search Branding,293,4.36,117.65,27,29.28%,3.7%,1,4.36,117.65
"""new brand design agency""",TO_Search Branding,0,0,0,0,--,0%,0,0,0
"""corporate brand identity design studio""",TO_Search Branding,0,0,0,0,--,0%,0,0,0
"""digital product branding""",TO_Search Branding,0,0,0,0,< 10%,0%,0,0,0
"""b2b branding agency london""",TO_Search Branding,3,0,0,0,75%,0%,0,0,0
"""corporate brand designers""",TO_Search Branding,185,4.07,61.03,15,28.18%,0%,0,4.07,0
"""brand management companies""",TO_Search Branding,126,7.79,31.16,4,< 10%,0%,0,7.79,0
"""branding for sports startups""",TO_Search Branding,0,0,0,0,--,0%,0,0,0
"""brand design agency Manchester""",TO_Search Branding,91,2.43,19.46,8,< 10%,0%,0,2.43,0
"""brand design agency London""",TO_Search Branding,165,1.65,16.48,10,27.55%,0%,0,1.65,0
"""brand design agency""",TO_Search Branding,1403,3.36,295.83,88,< 10%,0%,0,3.36,0
"""b2b brand strategy and design""",TO_Search Branding,42,6.71,6.71,1,10.31%,0%,0,6.71,0
"""brand design studio""",TO_Search Branding,1557,2.09,162.96,78,< 10%,0%,0,2.09,0
"""ecommerce branding agency""",TO_Search Branding,8,0,0,0,< 10%,0%,0,0,0
"""company branding designers""",TO_Search Branding,260,4.06,81.13,20,19.31%,0%,0,4.06,0
"""branding agency""",TO_Search Branding,5440,3.13,841.61,269,< 10%,0%,0,3.13,0
"""digital brand design""",TO_Search Branding,738,2.23,71.31,32,< 10%,0%,0,2.23,0
"""sports branding agency london""",TO_Search Branding,0,0,0,0,--,0%,0,0,0
"""retail branding agency""",TO_Search Branding,0,0,0,0,< 10%,0%,0,0,0
"""corporate branding agency""",TO_Search Branding,0,0,0,0,< 10%,0%,0,0,0
"""branding for enterprise companies""",TO_Search Branding,0,0,0,0,--,0%,0,0,0
"""brand strategy firms""",TO_Search Branding,40,3.64,3.64,1,< 10%,0%,0,3.64,0
"""athletic brand identity specialists""",TO_Search Branding,0,0,0,0,--,0%,0,0,0
"""sports brand design studio uk""",TO_Search Branding,0,0,0,0,--,0%,0,0,0
"""digital product design studio""",TO_Search Digital Product,2,0,0,0,10.53%,0%,0,0,0
"""digital prototype company""",TO_Search Digital Product,12,5.74,5.74,1,< 10%,0%,0,5.74,0
"""digital product development agency""",TO_Search Digital Product,133,6.93,55.4,8,< 10%,0%,0,6.93,0
"""digital product design""",TO_Search Digital Product,229,1.63,6.52,4,13.11%,0%,0,1.63,0
"""digital product agencies""",TO_Search Digital Product,1741,4.05,210.46,52,< 10%,0%,0,4.05,0
"""digital product design agency""",TO_Search Digital Product,281,6.65,39.9,6,10.38%,0%,0,6.65,0
"""digital brand design""",TO_Search Digital Product,3593,4.47,830.68,186,11%,0%,0,4.47,0
"""digital product design company""",TO_Search Digital Product,0,0,0,0,< 10%,0%,0,0,0
